113學年度大學分發入學    各系組最低錄取標準及錄取人數一覽表,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
0205,國立中興大學,電機工程學系乙組,數甲x1.00 物x1.00 英x1.25 化x1.00 國x1.00,22,257.00,-----
0206,國立中興大學,資訊工程學系,數甲x1.25 物x1.00 英x1.00 化x1.00,19,200.75,-----
0207,國立中興大學,電機資訊學院學士班,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,15,239.00,-----
0210,國立中興大學,生物產業機電工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,40,208.00,-----
0211,國立中興大學,水土保持學系,數甲x2.00 物x2.00 英x1.50 國x1.00,34,246.50,-----
0212,國立中興大學,食品暨應用生物科技學系,英x1.50 化x1.50 生x1.50 數Ax1.00 國x1.00,25,273.00,-----
0213,國立中興大學,農藝學系,英x1.50 生x1.50 化x1.50 國x1.00,22,216.00,-----
0214,國立中興大學,園藝學系,生x2.00 化x1.50 英x1.50 數Bx1.00 國x1.00,17,269.00,-----
0215,國立中興大學,森林學系林學組,英x1.50 生x1.50 化x1.00 物x1.00 數Bx1.00,10,221.50,-----
0216,國立中興大學,森林學系木材科學組,英x1.50 化x1.50 物x1.25 生x1.00 數Bx1.00,11,220.00,-----
0217,國立中興大學,植物病理學系,生x1.50 化x1.50 英x1.50 國x1.00 數Ax1.00,24,266.00,-----
0220,國立中興大學,昆蟲學系,生x1.50 化x1.50 英x1.50 國x1.00,30,213.00,-----
0221,國立中興大學,動物科學系,生x1.50 化x1.50 英x1.50 數Ax1.00 國x1.00,21,284.00,-----
0222,國立中興大學,土壤環境科學系,英x2.00 化x2.00 生x2.00 物x1.00,21,254.00,-----
0223,國立中興大學,生物科技學士學位學程,英x1.50 化x1.50 生x1.50 國x1.00 數甲x1.00,9,284.00,-----
0224,國立中興大學,景觀與遊憩學士學位學程,英x1.50 國x1.00 物x1.00,6,148.50,-----
0225,國立中興大學,國際農企業學士學位學程,英x1.75 數甲x1.50 生x1.50,8,181.75,-----
0226,國立中興大學,生命科學系(自費),生x1.75 化x1.75 英x1.00,21,202.75,-----
0227,國立中興大學,生命科學系(公費),生x1.75 化x1.75 英x1.00,1,238.50,-----
0230,國立中興大學,獸醫學系,英x1.50 化x1.50 生x1.50 數甲x1.00,29,278.50,-----
0231,國立成功大學,中國文學系,國x1.50 英x1.00 歷x1.00,35,168.50,186.20
0232,國立成功大學,外國語文學系,英x2.00 國x1.50 歷x1.00 地x1.00 數Bx1.25,40,297.00,-----
